iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.700973840973841,0.0606488391910984,0.7182009595932823,0.025042435251922512,0.6392751998072741,0.00896584809042148,0.6332200687437,0.008872958020435561
1,0.71242671718594,0.060721446844410464,0.7353568321103692,0.0335735136355263,0.5947210265333863,0.015290407670999031,0.5831259213122049,0.009322909817875057
2,0.7372594704661422,0.04373044920172923,0.7544910413875698,0.021922667470218017,0.5599394554703697,0.021043931754617808,0.5441102781347749,0.013966796699007163
3,0.7348955722639933,0.062485533557618135,0.7525502847364727,0.018319737800188404,0.5298650009795003,0.026534504126479827,0.510172966690944,0.01360058744656337
4,0.738331295506868,0.06403109846139385,0.7536871471072871,0.015470517777528621,0.5074134692664922,0.030541824345107247,0.4860682239495363,0.01343975917399512
5,0.7446066738752697,0.05406989766376809,0.7527296220500179,0.014840221148162957,0.48963468933217225,0.032785562305913486,0.468504194433779,0.014307282633876933
6,0.7446066738752697,0.05406989766376809,0.7566887252913446,0.016022795748658492,0.47565308383901195,0.033841778629242966,0.4535322639992014,0.014689683727226137
7,0.7465661179399768,0.0520518583668094,0.7550832855436918,0.014484371504506915,0.46648434981124137,0.03798312814024323,0.4418344159733631,0.013908764601534418
8,0.7461359570661896,0.058123140357784396,0.7557605674149801,0.013770514271760228,0.4595704780166022,0.041371459420057044,0.43325940935783863,0.014195892835500707
9,0.7461359570661896,0.058123140357784396,0.7568875799373413,0.015129119548035155,0.4551807981213612,0.04336527609773579,0.42543041770089307,0.014147840368685181
10,0.7418008348240906,0.06053364639895905,0.7597531353992253,0.0168650358700148,0.45217349751352687,0.0458309071373501,0.4205745277120709,0.014692322717304373
11,0.7461359570661896,0.058123140357784396,0.7577707493823331,0.01534169856070486,0.4486818841865171,0.04675450649578636,0.41633803102666544,0.01517152441073643
12,0.7418723911747167,0.05854914953665773,0.7612997066903961,0.017063839896932775,0.4463440052030457,0.04883455533965652,0.41165367333556785,0.014318329741082285
13,0.7461538461538462,0.05852365753372105,0.763516671169973,0.015696879177721525,0.44296035214152923,0.0490751252139377,0.407130471882929,0.01313678919023855
14,0.7464930345245306,0.058472821734511064,0.7623888097290112,0.013838842717252463,0.4408243174022789,0.05038351788218901,0.4038154209845769,0.013883356330045192
15,0.7452716604787291,0.05712398451737551,0.7635208678311709,0.01481749194262975,0.43912466673445605,0.04947435141802624,0.40061500634269914,0.014488382098192316
16,0.7369596946667631,0.054173819799916485,0.7673785046486205,0.01096107256413822,0.438215026388378,0.051862810531597206,0.3974659172564418,0.013611871569982462
17,0.7380335313903184,0.05503506260902958,0.7717512628947663,0.014191842854423882,0.43744946118495187,0.05294904315449759,0.39499355407822717,0.013365982564918678
18,0.7291714818225549,0.06191745946453773,0.7710990614646815,0.01508871122025935,0.43679886641270943,0.05405098666413307,0.3925120697270047,0.014032544165010635
19,0.7346415372831794,0.05831875166394635,0.7742049994939927,0.015226841911385576,0.43761779473606044,0.053444726066023414,0.3900832869802322,0.014503812450936873
20,0.7247618896332202,0.06540052120801584,0.7791907101259741,0.01841209783482202,0.43645980842027077,0.054966860652583945,0.38577229415232545,0.015534023668036516
21,0.7279322189234542,0.062193500390302546,0.7815482087899632,0.016332709861722628,0.4351115231317852,0.055847599244482765,0.3830081080728516,0.01558389208222845
22,0.7256051436014741,0.06551458485351132,0.7831524536111182,0.019125016615055987,0.43605105633531016,0.059013379853155315,0.38086993972696215,0.016596966429920715
23,0.7195301436014742,0.06590521041219218,0.7834364660863858,0.019123375465295907,0.43647287920998573,0.06007979786832524,0.37880931150405656,0.016716796086414597
24,0.723045292620865,0.06591220645867367,0.7865561064887894,0.01688178969081879,0.43279404384571796,0.05949782641092891,0.3761458288663829,0.01729767635395168
25,0.7299084517636516,0.06683035108692514,0.7869680640360243,0.02070023969582787,0.43320758503497575,0.060336091460952646,0.37472624636783447,0.017959325038856142
26,0.7329064518098027,0.06875216815647889,0.7872959453412324,0.020908199038275375,0.4333000630554692,0.060845960045750734,0.37320854902817624,0.018081799424214798
27,0.7295910011248592,0.06294793642060025,0.7878650385252571,0.019111153275101937,0.4336636421894853,0.06134087629166617,0.37188395150054926,0.018178457229673418
28,0.7366725479879531,0.06349657269896823,0.787244290512694,0.01904363186068878,0.433171259546205,0.06160316398388107,0.3705869955304949,0.018487535941753366
29,0.7385046090566554,0.06586840199853863,0.7887440339163581,0.01546891563715413,0.4329684248846458,0.06272399486401732,0.3690025667603726,0.018618435417276345
30,0.7393938720923243,0.06580712621343066,0.7904346006466746,0.019360192450727235,0.4326009961522682,0.06282515385571667,0.3677596144529739,0.01919038696969123
31,0.7414772054256578,0.06260381976268238,0.7920929806811472,0.01867483658492421,0.43195768445486893,0.0625973460179408,0.36672228551618974,0.01943937105124629
32,0.7447925243441261,0.06361274349308223,0.7934600415887385,0.02098695363047478,0.4315073953528946,0.0634572243227084,0.3647788410189625,0.02014586487498449
33,0.7403597451081975,0.0634836991783333,0.7933713760830219,0.01927226001056551,0.43167445358309103,0.0639382037395561,0.3636463783082101,0.020162520171931417
34,0.7474803062008515,0.058065489441701486,0.7955988801577257,0.019776374222028065,0.43110673461564686,0.06364941807002027,0.3628990685634516,0.02000541285816544
35,0.7469875935030766,0.060582605837078585,0.7948422244098335,0.017691322543631885,0.4311924859327914,0.06321560911154217,0.36148827110137627,0.01971528629608186
36,0.7420511593945495,0.06338771824440693,0.7953883405543396,0.019254224539325553,0.4307962644597197,0.06345980010404666,0.35998328131377966,0.020254949909706714
